component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
w_comp_cor_312	WM	73.7358468853	0.0009165501	0.4486631613	True
w_comp_cor_313	WM	73.6651708889	0.0009147939	0.4495779552	True
w_comp_cor_314	WM	73.6046223285	0.0009132907	0.4504912459	True
w_comp_cor_315	WM	73.5674481765	0.0009123684	0.4514036143	True
w_comp_cor_316	WM	73.4629428216	0.0009097781	0.4523133925	True
w_comp_cor_317	WM	73.4180806073	0.0009086673	0.4532220598	True
w_comp_cor_318	WM	73.3874288093	0.0009079088	0.4541299686	True
w_comp_cor_319	WM	73.3069416428	0.0009059184	0.4550358869	True
w_comp_cor_320	WM	73.2718721921	0.0009050518	0.4559409387	True
w_comp_cor_321	WM	73.2432583212	0.0009043451	0.4568452838	True
w_comp_cor_322	WM	73.2095240547	0.0009035122	0.457748796	True
w_comp_cor_323	WM	73.1760111859	0.0009026852	0.4586514812	True
w_comp_cor_324	WM	73.1341260413	0.0009016521	0.4595531333	True
w_comp_cor_325	WM	73.0372633716	0.0008992653	0.4604523986	True
w_comp_cor_326	WM	73.0004288189	0.0008983585	0.4613507571	True
w_comp_cor_327	WM	72.9332989719	0.000896707	0.4622474641	True
w_comp_cor_328	WM	72.8988395892	0.0008958599	0.463143324	True
w_comp_cor_329	WM	72.861066577	0.0008949317	0.4640382558	True
w_comp_cor_330	WM	72.8255704532	0.00089406	0.4649323157	True
w_comp_cor_331	WM	72.8198795093	0.0008939202	0.465826236	True
w_comp_cor_332	WM	72.7155781145	0.0008913613	0.4667175973	True
w_comp_cor_333	WM	72.7016517442	0.0008910199	0.4676086172	True
w_comp_cor_334	WM	72.6275307777	0.000889204	0.4684978212	True
w_comp_cor_335	WM	72.5760789883	0.0008879446	0.4693857658	True
w_comp_cor_336	WM	72.4828533818	0.0008856649	0.4702714307	True
w_comp_cor_337	WM	72.4696372443	0.0008853419	0.4711567726	True
w_comp_cor_338	WM	72.4085815431	0.0008838508	0.4720406233	True
w_comp_cor_339	WM	72.3829659298	0.0008832255	0.4729238489	True
w_comp_cor_340	WM	72.2883108151	0.000880917	0.4738047659	True
w_comp_cor_341	WM	72.2446848797	0.0008798541	0.47468462	True
w_comp_cor_342	WM	72.2252006979	0.0008793796	0.4755639996	True
w_comp_cor_343	WM	72.197341759	0.0008787013	0.4764427009	True
w_comp_cor_344	WM	72.1455532951	0.0008774411	0.477320142	True
w_comp_cor_345	WM	72.0836163825	0.0008759352	0.4781960772	True
w_comp_cor_346	WM	72.0299919404	0.0008746325	0.4790707097	True
w_comp_cor_347	WM	71.988229177	0.0008736185	0.4799443282	True
w_comp_cor_348	WM	71.9070458366	0.0008716492	0.4808159775	True
w_comp_cor_349	WM	71.8641705648	0.0008706101	0.4816865875	True
w_comp_cor_350	WM	71.8129403932	0.0008693693	0.4825559568	True
w_comp_cor_351	WM	71.7738322142	0.0008684226	0.4834243794	True
w_comp_cor_352	WM	71.7317035223	0.0008674035	0.4842917829	True
w_comp_cor_353	WM	71.6596008176	0.0008656606	0.4851574434	True
