component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped540	Edge	97.5878741296	0.0002950807	0.7536627763	False
dropped541	Edge	97.5600920346	0.0002949128	0.7539576890	False
dropped542	Edge	97.5001887086	0.0002945507	0.7542522397	False
dropped543	Edge	97.4522567887	0.0002942612	0.7545465009	False
dropped544	Edge	97.4199153133	0.0002940659	0.7548405668	False
dropped545	Edge	97.3859310525	0.0002938608	0.7551344275	False
dropped546	Edge	97.3418685221	0.0002935949	0.7554280224	False
dropped547	Edge	97.2716795874	0.0002931717	0.7557211941	False
dropped548	Edge	97.2565743138	0.0002930806	0.7560142747	False
dropped549	Edge	97.2185332697	0.0002928514	0.7563071261	False
dropped550	Edge	97.1431914288	0.0002923977	0.7565995238	False
dropped551	Edge	97.0941060386	0.0002921022	0.7568916260	False
dropped552	Edge	97.0489604393	0.0002918307	0.7571834567	False
dropped553	Edge	97.0026378145	0.0002915521	0.7574750088	False
dropped554	Edge	96.9755152157	0.0002913891	0.7577663980	False
dropped555	Edge	96.9284330002	0.0002911063	0.7580575042	False
dropped556	Edge	96.8822157749	0.0002908287	0.7583483329	False
dropped557	Edge	96.8357788608	0.0002905500	0.7586388829	False
dropped558	Edge	96.7846012430	0.0002902430	0.7589291259	False
dropped559	Edge	96.7252563923	0.0002898871	0.7592190130	False
dropped560	Edge	96.7051236909	0.0002897665	0.7595087795	False
dropped561	Edge	96.6390501404	0.0002893706	0.7597981501	False
dropped562	Edge	96.6268565982	0.0002892976	0.7600874477	False
dropped563	Edge	96.5834238632	0.0002890376	0.7603764853	False
dropped564	Edge	96.5223113542	0.0002886719	0.7606651573	False
dropped565	Edge	96.4811706983	0.0002884259	0.7609535832	False
dropped566	Edge	96.4741732799	0.0002883841	0.7612419673	False
dropped567	Edge	96.4513894183	0.0002882479	0.7615302152	False
dropped568	Edge	96.3798913132	0.0002878207	0.7618180359	False
dropped569	Edge	96.3583918240	0.0002876923	0.7621057282	False
dropped570	Edge	96.2897442509	0.0002872825	0.7623930107	False
dropped571	Edge	96.2805217816	0.0002872275	0.7626802382	False
dropped572	Edge	96.2253045258	0.0002868981	0.7629671364	False
dropped573	Edge	96.2071343710	0.0002867898	0.7632539262	False
dropped574	Edge	96.1410218535	0.0002863958	0.7635403219	False
dropped575	Edge	96.1165557987	0.0002862500	0.7638265720	False
dropped576	Edge	96.0576985441	0.0002858996	0.7641124716	False
dropped577	Edge	96.0229163545	0.0002856926	0.7643981641	False
dropped578	Edge	95.9719828844	0.0002853896	0.7646835537	False
dropped579	Edge	95.9509106690	0.0002852643	0.7649688180	False
dropped580	Edge	95.9068153541	0.0002850021	0.7652538201	False
dropped581	Edge	95.8883104965	0.0002848922	0.7655387122	False
dropped582	Edge	95.8628983445	0.0002847412	0.7658234534	False
dropped583	Edge	95.8369446391	0.0002845870	0.7661080404	False
dropped584	Edge	95.7656617648	0.0002841638	0.7663922042	False
dropped585	Edge	95.7199488930	0.0002838926	0.7666760968	False
dropped586	Edge	95.6810703644	0.0002836620	0.7669597589	False
dropped587	Edge	95.6568642294	0.0002835185	0.7672432774	False
dropped588	Edge	95.5972568449	0.0002831653	0.7675264427	False
dropped589	Edge	95.5715978774	0.0002830133	0.7678094560	False
dropped590	Edge	95.5133950664	0.0002826687	0.7680921247	False
dropped591	Edge	95.4842765293	0.0002824964	0.7683746211	False
dropped592	Edge	95.4306146656	0.0002821789	0.7686568000	False
dropped593	Edge	95.3917264225	0.0002819490	0.7689387490	False
dropped594	Edge	95.3708708442	0.0002818257	0.7692205747	False
dropped595	Edge	95.2876548251	0.0002813341	0.7695019089	False
dropped596	Edge	95.2271029086	0.0002809767	0.7697828856	False
dropped597	Edge	95.1889957927	0.0002807519	0.7700636374	False
dropped598	Edge	95.1581454614	0.0002805699	0.7703442074	False
dropped599	Edge	95.1489694189	0.0002805158	0.7706247232	False
dropped600	Edge	95.1031521819	0.0002802457	0.7709049689	False
dropped601	Edge	95.0528193603	0.0002799492	0.7711849180	False
dropped602	Edge	95.0106509085	0.0002797008	0.7714646189	False
dropped603	Edge	94.9703580314	0.0002794636	0.7717440825	False
dropped604	Edge	94.9437667339	0.0002793072	0.7720233897	False
dropped605	Edge	94.9141369130	0.0002791329	0.7723025225	False
dropped606	Edge	94.8847315493	0.0002789599	0.7725814824	False
dropped607	Edge	94.8515447329	0.0002787648	0.7728602473	False
dropped608	Edge	94.8103210833	0.0002785226	0.7731387698	False
dropped609	Edge	94.7586853541	0.0002782193	0.7734169891	False
dropped610	Edge	94.7460827942	0.0002781453	0.7736951344	False
dropped611	Edge	94.6573252487	0.0002776244	0.7739727588	False
dropped612	Edge	94.6527886265	0.0002775978	0.7742503565	False
dropped613	Edge	94.5814538269	0.0002771795	0.7745275361	False
dropped614	Edge	94.5624206025	0.0002770680	0.7748046040	False
dropped615	Edge	94.5546496868	0.0002770224	0.7750816265	False
dropped616	Edge	94.4994189507	0.0002766989	0.7753583254	False
dropped617	Edge	94.4389001865	0.0002763446	0.7756346700	False
dropped618	Edge	94.4233782601	0.0002762538	0.7759109237	False
dropped619	Edge	94.3477071255	0.0002758112	0.7761867349	False
dropped620	Edge	94.3397650132	0.0002757647	0.7764624997	False
dropped621	Edge	94.3038058982	0.0002755546	0.7767380542	False
dropped622	Edge	94.2324719838	0.0002751378	0.7770131921	False
dropped623	Edge	94.2193198400	0.0002750610	0.7772882531	False
dropped624	Edge	94.1842125815	0.0002748561	0.7775631092	False
dropped625	Edge	94.1405472167	0.0002746013	0.7778377105	False
dropped626	Edge	94.0976002316	0.0002743508	0.7781120613	False
dropped627	Edge	94.0807988507	0.0002742528	0.7783863142	False
dropped628	Edge	94.0398568890	0.0002740142	0.7786603284	False
dropped629	Edge	94.0021982513	0.0002737948	0.7789341232	False
dropped630	Edge	93.9952953677	0.0002737546	0.7792078777	False
dropped631	Edge	93.9519420016	0.0002735021	0.7794813798	False
dropped632	Edge	93.8690945361	0.0002730200	0.7797543998	False
dropped633	Edge	93.8189067508	0.0002727281	0.7800271279	False
dropped634	Edge	93.7822107256	0.0002725148	0.7802996427	False
dropped635	Edge	93.7301527846	0.0002722123	0.7805718550	False
dropped636	Edge	93.6977880961	0.0002720244	0.7808438794	False
dropped637	Edge	93.6798181841	0.0002719201	0.7811157995	False
dropped638	Edge	93.6244932381	0.0002715990	0.7813873985	False
dropped639	Edge	93.5811593242	0.0002713476	0.7816587461	False
dropped640	Edge	93.5713027844	0.0002712905	0.7819300365	False
dropped641	Edge	93.5444675976	0.0002711349	0.7822011714	False
dropped642	Edge	93.5254516367	0.0002710246	0.7824721960	False
dropped643	Edge	93.4317846950	0.0002704820	0.7827426781	False
dropped644	Edge	93.4214595070	0.0002704223	0.7830131003	False
dropped645	Edge	93.3843836070	0.0002702077	0.7832833080	False
