edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23
0.0180970883	0.0317873281	-0.0340709301	-0.0143780852	0.0120369493	0.0052937315	-0.0461771067	0.0490673041	-0.0178417115	0.0443512185	-0.0050701937	0.0439183280	0.0022697945	0.0018089525	-0.0104330814	-0.0075253586	-0.0050711945	-0.0033516704	0.0188081356	-0.0096939131	-0.0265432218	0.0366069645	-0.0303578687	0.0251159772
0.0111884959	0.0241364707	-0.0301587410	-0.0272553841	0.0124085670	0.0075210442	-0.0560407604	0.0456212442	-0.0030478483	0.0367066982	-0.0425578499	0.0413063837	0.0115203579	0.0081264520	0.0508968077	-0.0155836327	0.0163010149	0.0126734679	0.0043606266	-0.0009815622	-0.0212652495	0.0155933681	-0.0303314876	0.0117687718
0.0036039010	0.0008628564	-0.0338628992	-0.0245886509	-0.0091941148	0.0245591234	-0.0668291901	0.0346945315	-0.0194515024	0.0323846028	-0.0339503281	0.0007580689	-0.0098861459	-0.0037562619	-0.0111214123	0.0096097844	-0.0022373533	-0.0241694871	0.0189314387	-0.0359932866	-0.0159204426	0.0158338050	0.0060009729	-0.0134823087
-0.0004825134	-0.0014224121	-0.0330803896	-0.0259252195	-0.0122225569	0.0227674662	-0.0769383518	0.0543130647	-0.0044301459	0.0351335177	-0.0004764809	0.0321493515	-0.0288731310	-0.0052175666	-0.0246316845	0.0023966081	-0.0261604639	0.0143823774	0.0016027118	-0.0244014442	-0.0203135465	-0.0098125510	-0.0228570829	-0.0259405496
0.0013095446	0.0119105849	-0.0352882072	-0.0180819205	-0.0182770297	0.0267411227	-0.0649941304	0.0530812966	-0.0204263127	0.0314926849	-0.0622448409	0.0351298253	-0.0254748637	0.0348810013	0.0242436043	-0.0075474874	0.0044635185	0.0083013989	0.0217454860	0.0329041241	0.0014128885	0.0018477752	-0.0271767348	-0.0196322660
0.0076913909	-0.0004115616	-0.0335291731	-0.0259432619	-0.0160870299	0.0417088665	-0.0632299145	0.0317923234	-0.0404009964	0.0469329777	-0.0481116494	-0.0009813766	-0.0222672827	-0.0031360612	-0.0046407973	0.0018758394	-0.0006030667	0.0020639531	0.0246159095	-0.0318195101	-0.0215846181	0.0123880182	-0.0208324355	-0.0099407216
-0.0321433277	-0.0141201064	-0.0200055473	0.0223782474	-0.0498441763	0.0265848323	-0.0525394379	0.0163184956	0.0014085831	0.0067326834	0.0106756008	0.0107502263	-0.0180602612	-0.0092048781	0.0006649135	0.0396454264	-0.0516862374	-0.0242235069	0.0062516833	0.0141612476	-0.0059021939	-0.0237561286	-0.0312481014	-0.0051339144
-0.0629033459	0.0060745343	-0.0159533415	0.0419566329	-0.0701847863	0.0275557886	-0.0379581551	-0.0186216799	0.0240814212	-0.0265581529	0.0120930772	-0.0007120435	0.0244380496	-0.0659547534	0.0259630725	0.0277019007	-0.0178840583	-0.0200637859	-0.0101915589	0.0376534872	0.0274522106	-0.0527086306	-0.0615307705	-0.0048904094
-0.0336506423	-0.0011253100	-0.0207628410	-0.0034652859	-0.0166223102	-0.0072954756	-0.0580196830	0.0321235760	0.0544110822	-0.0003533862	0.0321916697	-0.0046507314	0.0026576479	-0.0106125907	-0.0287710650	0.0229608947	-0.0432393948	-0.0311398456	0.0038000333	0.0305876625	0.0254389178	-0.0234959316	0.0206126277	-0.0104820613
-0.0327304761	0.0166569482	-0.0300206083	-0.0076909102	-0.0040339893	-0.0055747433	-0.0525391109	0.0127032827	0.0347919971	-0.0132813490	-0.0217597916	0.0149917754	-0.0024555000	0.0027491314	0.0125271576	0.0260882592	0.0004938303	-0.0250273719	-0.0172994159	0.0466239301	0.0008573530	-0.0007817779	0.0169182448	-0.0076783655
-0.0199145860	0.0030593561	-0.0375331707	-0.0294777654	0.0023610003	-0.0032929340	-0.0590390908	0.0096276262	0.0191961193	-0.0000882415	-0.0261166899	-0.0203587579	-0.0184485419	0.0015090761	-0.0147307194	0.0238316026	-0.0175592140	-0.0221378644	-0.0312397645	-0.0032739975	-0.0090773343	-0.0001628008	0.0335896712	-0.0239492797
-0.0456303694	-0.0079694322	-0.0237488996	-0.0035810536	-0.0292135097	-0.0074080905	-0.0521032941	-0.0169976184	0.0518006917	-0.0128118026	0.0376495139	-0.0409368615	-0.0122234371	0.0485438900	-0.0033696247	-0.0016180789	-0.0027305508	-0.0387391657	-0.0316897573	0.0359715648	-0.0592747642	-0.0499152746	-0.0737791786	-0.0250178341
-0.0417754100	0.0015907624	-0.0205080992	-0.0528710049	-0.0099786238	0.0009725394	-0.0545330940	-0.0237087937	0.0544821404	-0.0305002565	0.0121105079	-0.0118301397	-0.0246804683	0.0348227780	0.0115331758	-0.0129643206	0.0458141434	-0.0495635811	-0.0300146807	0.0152803885	-0.0318240323	-0.0256857850	-0.0102588180	-0.0288446459
-0.0203040031	0.0060058645	-0.0217509832	-0.0931608189	0.0046321096	0.0181583007	-0.0414916123	-0.0359298705	0.0035833489	0.0119114427	-0.0132314029	-0.0378171557	-0.0159885814	0.0340020314	0.0237005481	-0.0182262346	-0.0061678071	-0.0431606600	0.0019940358	0.0398183048	-0.0159196056	-0.0088475634	0.0379930266	-0.0388977060
-0.0145026846	-0.0113804522	-0.0142269017	-0.0869985374	-0.0138515001	0.0386513699	-0.0313985550	-0.0552915492	-0.0203309299	-0.0124307590	0.0232427608	0.0032330102	0.0006835120	0.0145083587	0.0266139297	-0.0285100353	-0.0252568003	-0.0155788981	0.0059301747	0.0092339531	-0.0003864984	-0.0240760336	0.0418079361	-0.0423818265
-0.0042462782	-0.0024057241	-0.0139455428	-0.0785949579	0.0030000534	0.0324205979	-0.0406033772	-0.0226478752	0.0121608879	-0.0456101009	-0.0176285377	-0.0088935778	-0.0168880115	-0.0121675298	-0.0281532772	-0.0410113355	-0.0177898997	0.0380884829	-0.0119204830	-0.0148217821	-0.0086567285	-0.0442454692	-0.0022276685	-0.0411350406
