component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped105	CSF	37.6208791920	0.0018098856	0.7742013400	False
dropped106	CSF	37.5850809554	0.0018064429	0.7760077828	False
dropped107	CSF	37.5019447922	0.0017984602	0.7778062430	False
dropped108	CSF	37.3661817059	0.0017854623	0.7795917053	False
dropped109	CSF	37.3157540955	0.0017806464	0.7813723518	False
dropped110	CSF	37.1669252053	0.0017664710	0.7831388228	False
dropped111	CSF	37.1033450622	0.0017604325	0.7848992553	False
dropped112	CSF	37.0397187451	0.0017544000	0.7866536552	False
dropped113	CSF	37.0003726946	0.0017506747	0.7884043299	False
dropped114	CSF	36.7990593120	0.0017316762	0.7901360061	False
dropped115	CSF	36.6103651782	0.0017139627	0.7918499688	False
dropped116	CSF	36.4905356885	0.0017027611	0.7935527299	False
dropped117	CSF	36.4882626085	0.0017025490	0.7952552789	False
dropped118	CSF	36.4082333224	0.0016950888	0.7969503677	False
dropped119	CSF	36.3371389511	0.0016884753	0.7986388430	False
dropped120	CSF	36.1868283711	0.0016745352	0.8003133782	False
dropped121	CSF	36.0954414242	0.0016660881	0.8019794663	False
dropped122	CSF	35.9202011104	0.0016499499	0.8036294162	False
dropped123	CSF	35.8943231092	0.0016475734	0.8052769897	False
dropped124	CSF	35.8540731405	0.0016438805	0.8069208702	False
dropped125	CSF	35.7479916681	0.0016341674	0.8085550376	False
dropped126	CSF	35.5138627064	0.0016128318	0.8101678693	False
dropped127	CSF	35.3831689173	0.0016009829	0.8117688523	False
dropped128	CSF	35.3403823497	0.0015971133	0.8133659656	False
dropped129	CSF	35.1948711836	0.0015839884	0.8149499540	False
dropped130	CSF	35.1659541769	0.0015813866	0.8165313406	False
dropped131	CSF	35.0970856096	0.0015751987	0.8181065394	False
dropped132	CSF	34.9950800515	0.0015660558	0.8196725952	False
dropped133	CSF	34.8623646409	0.0015542001	0.8212267953	False
dropped134	CSF	34.7599414744	0.0015450812	0.8227718765	False
dropped135	CSF	34.6453150351	0.0015349077	0.8243067843	False
dropped136	CSF	34.5749477129	0.0015286790	0.8258354633	False
dropped137	CSF	34.5547341491	0.0015268921	0.8273623554	False
