component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped903	0	6.9057244759	0.0000205305	0.9974683689	False
dropped904	0	6.8982802575	0.0000204863	0.9974888552	False
dropped905	0	6.8653754497	0.0000202913	0.9975091465	False
dropped906	0	6.8528211962	0.0000202171	0.9975293636	False
dropped907	0	6.8481099247	0.0000201894	0.9975495530	False
dropped908	0	6.8342404997	0.0000201077	0.9975696607	False
dropped909	0	6.7995112266	0.0000199038	0.9975895645	False
dropped910	0	6.7905545696	0.0000198514	0.9976094159	False
dropped911	0	6.7762773529	0.0000197680	0.9976291839	False
dropped912	0	6.7449743072	0.0000195858	0.9976487697	False
dropped913	0	6.7267253341	0.0000194800	0.9976682497	False
dropped914	0	6.7028042976	0.0000193417	0.9976875914	False
dropped915	0	6.6981373766	0.0000193148	0.9977069062	False
dropped916	0	6.6663950968	0.0000191321	0.9977260383	False
dropped917	0	6.6579478074	0.0000190837	0.9977451219	False
dropped918	0	6.6268062712	0.0000189056	0.9977640275	False
dropped919	0	6.6203555595	0.0000188688	0.9977828963	False
dropped920	0	6.5967760792	0.0000187346	0.9978016309	False
dropped921	0	6.5896768975	0.0000186943	0.9978203252	False
dropped922	0	6.5630277261	0.0000185434	0.9978388686	False
dropped923	0	6.5576376831	0.0000185130	0.9978573816	False
dropped924	0	6.5239704579	0.0000183234	0.9978757049	False
dropped925	0	6.5082529472	0.0000182352	0.9978939401	False
dropped926	0	6.4910415645	0.0000181389	0.9979120790	False
dropped927	0	6.4839582675	0.0000180993	0.9979301782	False
dropped928	0	6.4624105385	0.0000179792	0.9979481574	False
dropped929	0	6.4462155951	0.0000178892	0.9979660466	False
dropped930	0	6.4373549277	0.0000178400	0.9979838867	False
dropped931	0	6.4077645952	0.0000176764	0.9980015631	False
dropped932	0	6.4032542706	0.0000176515	0.9980192146	False
dropped933	0	6.3824369185	0.0000175370	0.9980367516	False
dropped934	0	6.3717828910	0.0000174785	0.9980542300	False
dropped935	0	6.3333464631	0.0000172682	0.9980714983	False
dropped936	0	6.2936089691	0.0000170522	0.9980885505	False
dropped937	0	6.2890465973	0.0000170275	0.9981055780	False
dropped938	0	6.2869592823	0.0000170162	0.9981225941	False
dropped939	0	6.2659354553	0.0000169026	0.9981394967	False
dropped940	0	6.2525535659	0.0000168305	0.9981563272	False
dropped941	0	6.2329696493	0.0000167252	0.9981730524	False
dropped942	0	6.2179034566	0.0000166444	0.9981896968	False
dropped943	0	6.1989747069	0.0000165432	0.9982062401	False
dropped944	0	6.1946980801	0.0000165204	0.9982227605	False
dropped945	0	6.1700962924	0.0000163895	0.9982391500	False
dropped946	0	6.1427248467	0.0000162444	0.9982553943	False
dropped947	0	6.1350486195	0.0000162038	0.9982715981	False
dropped948	0	6.1231026525	0.0000161408	0.9982877389	False
dropped949	0	6.1033272986	0.0000160367	0.9983037756	False
dropped950	0	6.0818014428	0.0000159238	0.9983196993	False
dropped951	0	6.0680846896	0.0000158520	0.9983355514	False
dropped952	0	6.0543753043	0.0000157805	0.9983513318	False
dropped953	0	6.0036152855	0.0000155170	0.9983668488	False
dropped954	0	6.0016115094	0.0000155066	0.9983823554	False
dropped955	0	6.0004850066	0.0000155008	0.9983978562	False
dropped956	0	5.9735696561	0.0000153620	0.9984132182	False
dropped957	0	5.9632202245	0.0000153089	0.9984285271	False
dropped958	0	5.9497823450	0.0000152399	0.9984437670	False
dropped959	0	5.9430349936	0.0000152054	0.9984589724	False
dropped960	0	5.9209205067	0.0000150924	0.9984740649	False
dropped961	0	5.9098094006	0.0000150359	0.9984891007	False
dropped962	0	5.8656264507	0.0000148119	0.9985039126	False
dropped963	0	5.8625186679	0.0000147962	0.9985187088	False
dropped964	0	5.8359366189	0.0000146623	0.9985333711	False
dropped965	0	5.8140585045	0.0000145526	0.9985479236	False
dropped966	0	5.8047091497	0.0000145058	0.9985624294	False
dropped967	0	5.7926509906	0.0000144456	0.9985768751	False
dropped968	0	5.7803553063	0.0000143843	0.9985912594	False
dropped969	0	5.7544760306	0.0000142558	0.9986055152	False
dropped970	0	5.7346518410	0.0000141578	0.9986196730	False
dropped971	0	5.7258198789	0.0000141142	0.9986337872	False
dropped972	0	5.7163494661	0.0000140676	0.9986478548	False
dropped973	0	5.6979884683	0.0000139773	0.9986618321	False
dropped974	0	5.6876512502	0.0000139267	0.9986757588	False
